Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2
42,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,1:30 PM,Lakes XI,Pirates,OCG,Blue Titans,Blue Titans,,,,,
43,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,8:00 AM,Lakes XI,Telugu Yuvatha,PCG,KC Lions,KC Lions,,,,,
44,CPLKC-T15-SPRING-2026,Div A,League,05/02/2026,4:15 PM,Pirates,Telugu Yuvatha,OCG,Sixers,Sixers,,,,,
45,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,8:00 AM,Nepal XI,Wolves,OCG,Prime XI,Prime XI,,,,,
46,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,KC Blues,Midwest Warriors,OCG,Pehlwan XI,Pehlwan XI,,,,,
47,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,10:45 AM,Jaguars,KC Lions,OCG,KC Fusion,KC Fusion,,,,,
48,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,4:15 PM,Punjab XI,Shivams,PCG,Ace XI,Ace XI,,,,,
49,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Punjab XI,Rc's XI,OCG,World XI,World XI,,,,,
50,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,4:15 PM,Elites XI,Punjab XI,OCG,Kansas Eagles,Kansas Eagles,,,,,
51,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,1:30 PM,KC Khiladis,Punjab XI,OCG,Killer XI,Killer XI,,,,,
52,CPLKC-T15-SPRING-2026,Div A,League,04/26/2026,10:45 AM,KC Raptors,KC Rockers,OCG,Wolves,Wolves,,,,,
53,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,1:30 PM,KC Raptors,LIMRA Defenders,OCG,Blue Titans,Blue Titans,,,,,
54,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,10:45 AM,KC Raptors,World XI,OCG,KC Blues,KC Blues,,,,,
55,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,10:45 AM,KC Rockers,Telugu Yuvatha,OCG,KC Khiladis,KC Khiladis,,,,,
56,CPLKC-T15-SPRING-2026,Div A,League,06/20/2026,10:45 AM,LIMRA Defenders,Pirates,OCG,Ace XI,Ace XI,,,,,
57,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,4:15 PM,LIMRA Defenders,Telugu Yuvatha,OCG,Dominators,Dominators,,,,,
58,CPLKC-T15-SPRING-2026,Div A,League,06/27/2026,8:00 AM,Pirates,World XI,OCG,Bengal Warriors,Bengal Warriors,,,,,
59,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,10:45 AM,Telugu Yuvatha,World XI,OCG,Rising Stars,Rising Stars,,,,,
60,CPLKC-T15-SPRING-2026,Div B,League,06/21/2026,8:00 AM,Nepal XI,Sunrisers Lakes XI,OCG,Rc's XI,Rc's XI,,,,,
61,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,1:30 PM,KC Lions,Sixers,OCG,KC Royals,KC Royals,,,,,
62,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,1:30 PM,Ace XI,KC Blues,OCG,KC Khiladis,KC Khiladis,,,,,
63,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,1:30 PM,KC Lions,Prime XI,OCG,KC Legends,KC Legends,,,,,
64,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,8:00 AM,KC Rockers,LIMRA Defenders,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
65,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,10:45 AM,KC Rockers,World XI,OCG,Blue Caps,Blue Caps,,,,,
66,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,4:15 PM,LIMRA Defenders,World XI,OCG,Punjab XI,Punjab XI,,,,,
67,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,8:00 AM,KC Legends,Punjab Eagles,PCG,Pehlwan XI,Pehlwan XI,,,,,
68,CPLKC-T15-SPRING-2026,Div D,League,05/10/2026,8:00 AM,Bengal Warriors,KC Legends,PCG,Rising Stars,Rising Stars,,,,,
69,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,8:00 AM,Bharat XI,Blue Caps,PCG,KC Raptors,KC Raptors,,,,,
70,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,4:15 PM,Blue Caps,Jaguars,OCG,Punjab Eagles,Punjab Eagles,,,,,
71,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,10:45 AM,KC Legends,KC Supernovas,OCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
72,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,4:15 PM,Bengal Warriors,KC Fusion,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
73,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Blue Titans,Dominators,PCG,Punjab XI,Punjab XI,,,,,
74,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,8:00 AM,Blue Titans,Killer XI,OCG,KC Supernovas,KC Supernovas,,,,,
75,CPLKC-T15-SPRING-2026,Div B,League,06/20/2026,1:30 PM,Blue Titans,Pehlwan XI,PCG,Midwest Warriors,Midwest Warriors,,,,,
76,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,8:00 AM,Bharat XI,Midwest Warriors,OCG,Killer XI,Killer XI,,,,,
77,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,1:30 PM,Jaguars,Midwest Warriors,PCG,Pirates,Pirates,,,,,
78,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,8:00 AM,Punjab Eagles,Shivams,OCG,KC Lions,KC Lions,,,,,
79,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,1:30 PM,Punjab Eagles,Rc's XI,OCG,KC Blues,KC Blues,,,,,
80,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,4:15 PM,Elites XI,Punjab Eagles,OCG,KC Raptors,KC Raptors,,,,,
81,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,KC Khiladis,Punjab Eagles,OCG,KC Rockers,KC Rockers,,,,,
82,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,8:00 AM,KC Fusion,KC Supernovas,OCG,Nepal XI,Nepal XI,,,,,
83,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,1:30 PM,Dominators,Rising Stars,PCG,Shivams,Shivams,,,,,
84,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,1:30 PM,Killer XI,Rising Stars,PCG,LIMRA Defenders,LIMRA Defenders,,,,,
85,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,8:00 AM,Pehlwan XI,Rising Stars,PCG,Sixers,Sixers,,,,,
86,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,Ace XI,Bharat XI,PCG,KC Royals,KC Royals,,,,,
87,CPLKC-T15-SPRING-2026,Div C,League,06/27/2026,1:30 PM,Ace XI,Jaguars,OCG,KC Khiladis,KC Khiladis,,,,,
88,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,4:15 PM,Midwest Warriors,Prime XI,OCG,Rc's XI,Rc's XI,,,,,
89,CPLKC-T15-SPRING-2026,Div D,League,05/17/2026,10:45 AM,Bengal Warriors,Elites XI,PCG,KC Royals,KC Royals,,,,,
90,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Bengal Warriors,KC Khiladis,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
91,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,Bengal Warriors,Rc's XI,PCG,Wolves,Wolves,,,,,
92,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,1:30 PM,Dominators,Nepal XI,OCG,Punjab XI,Punjab XI,,,,,
93,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,1:30 PM,Dominators,Wolves,PCG,Kansas Eagles,Kansas Eagles,,,,,
94,CPLKC-T15-SPRING-2026,Div B,League,07/11/2026,8:00 AM,Killer XI,Nepal XI,OCG,Pirates,Pirates,,,,,
95,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,10:45 AM,Nepal XI,Pehlwan XI,PCG,Lakes XI,Lakes XI,,,,,
96,CPLKC-T15-SPRING-2026,Div C,League,04/25/2026,1:30 PM,KC Lions,Midwest Warriors,PCG,KC Raptors,KC Raptors,,,,,
97,CPLKC-T15-SPRING-2026,Div C,League,07/12/2026,8:00 AM,Ace XI,Prime XI,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
98,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,1:30 PM,KC Supernovas,Shivams,PCG,Kansas Kings,Kansas Kings,,,,,
99,CPLKC-T15-SPRING-2026,Div D,League,06/21/2026,10:45 AM,KC Supernovas,Rc's XI,OCG,KC Lions,KC Lions,,,,,
100,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,8:00 AM,Elites XI,KC Supernovas,PCG,Sixers,Sixers,,,,,
101,CPLKC-T15-SPRING-2026,Div B,League,07/12/2026,1:30 PM,Dominators,Sunrisers Lakes XI,OCG,Prime XI,Prime XI,,,,,
102,CPLKC-T15-SPRING-2026,Div B,League,05/16/2026,10:45 AM,Killer XI,Sunrisers Lakes XI,PCG,LIMRA Defenders,LIMRA Defenders,,,,,
103,CPLKC-T15-SPRING-2026,Div B,League,05/30/2026,1:30 PM,Pehlwan XI,Sunrisers Lakes XI,PCG,Bharat XI,Bharat XI,,,,,
104,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,4:15 PM,Elites XI,KC Fusion,OCG,Kansas Kings,Kansas Kings,,,,,
105,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,4:15 PM,KC Fusion,KC Khiladis,PCG,KC Rockers,KC Rockers,,,,,
106,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,10:45 AM,Dominators,Killer XI,PCG,Kansas Kings,Kansas Kings,,,,,
107,CPLKC-T15-SPRING-2026,Div B,League,05/09/2026,8:00 AM,Dominators,Pehlwan XI,PCG,Blue Caps,Blue Caps,,,,,
108,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,10:45 AM,Killer XI,Pehlwan XI,PCG,Kansas Eagles,Kansas Eagles,,,,,
109,CPLKC-T15-SPRING-2026,Div D,League,06/27/2026,4:15 PM,Rc's XI,Shivams,OCG,Jaguars,Jaguars,,,,,
110,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,4:15 PM,Elites XI,KC Khiladis,PCG,LIMRA Defenders,LIMRA Defenders,,,,,
111,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,4:15 PM,KC Khiladis,Shivams,PCG,Dominators,Dominators,,,,,
112,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,10:45 AM,KC Khiladis,Rc's XI,PCG,World XI,World XI,,,,,
113,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,4:15 PM,Bharat XI,KC Blues,PCG,Shivams,Shivams,,,,,
114,CPLKC-T15-SPRING-2026,Div D,League,06/27/2026,10:45 AM,Bengal Warriors,Punjab Eagles,PCG,World XI,World XI,,,,,
115,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,1:30 PM,Bengal Warriors,KC Supernovas,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
116,CPLKC-T15-SPRING-2026,Div C,League,07/11/2026,1:30 PM,Bharat XI,KC Lions,OCG,Kansas Kings,Kansas Kings,,,,,
117,CPLKC-T15-SPRING-2026,Div A,League,06/21/2026,10:45 AM,KC Rockers,Lakes XI,PCG,Blue Caps,Blue Caps,,,,,
118,CPLKC-T15-SPRING-2026,Div A,League,07/11/2026,10:45 AM,KC Rockers,Pirates,OCG,Nepal XI,Nepal XI,,,,,
119,CPLKC-T15-SPRING-2026,Div A,League,07/12/2026,4:15 PM,Lakes XI,LIMRA Defenders,PCG,Rising Stars,Rising Stars,,,,,
120,CPLKC-T15-SPRING-2026,Div B,League,04/26/2026,8:00 AM,Sunrisers Lakes XI,Wolves,OCG,KC Rockers,KC Rockers,,,,,
121,CPLKC-T15-SPRING-2026,Div D,League,06/07/2026,4:15 PM,KC Fusion,KC Legends,PCG,Tuskers,Tuskers,,,,,
122,CPLKC-T15-SPRING-2026,Div D,League,06/21/2026,1:30 PM,KC Legends,Shivams,PCG,Bharat XI,Bharat XI,,,,,
123,CPLKC-T15-SPRING-2026,Div D,League,06/28/2026,10:45 AM,Elites XI,KC Legends,OCG,Blue Titans,Blue Titans,,,,,
124,CPLKC-T15-SPRING-2026,Div D,League,07/11/2026,4:15 PM,KC Legends,Rc's XI,PCG,KC Raptors,KC Raptors,,,,,
125,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,10:45 AM,KC Fusion,Shivams,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
126,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,8:00 AM,Elites XI,Rc's XI,PCG,Bharat XI,Bharat XI,,,,,
