Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2
15,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,10:45 AM,Bengal Warriors,Punjab XI,OCG,Prime XI,Prime XI,,,,,
16,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,1:30 PM,KC Supernovas,Punjab XI,PCG,Blue Caps,Blue Caps,,,,,
17,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,KC Blues,KC Lions,OCG,Killer XI,Killer XI,,,,,
18,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,8:00 AM,Kansas Kings,Tuskers,PCG,Rising Stars,Rising Stars,,,,,
19,CPLKC-T15-SPRING-2026,Div C,League,06/13/2026,1:30 PM,Blue Caps,Kansas Eagles,OCG,KC Royals,KC Royals,,,,,
20,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,4:15 PM,KC Raptors,Tuskers,PCG,Rc's XI,Rc's XI,,,,,
21,CPLKC-T15-SPRING-2026,Div A,League,05/16/2026,8:00 AM,Lakes XI,Tuskers,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
22,CPLKC-T15-SPRING-2026,Div A,League,05/09/2026,1:30 PM,Pirates,Tuskers,OCG,Bengal Warriors,Bengal Warriors,,,,,
23,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,10:45 AM,KC Legends,Punjab XI,OCG,Kansas Kings,Kansas Kings,,,,,
24,CPLKC-T15-SPRING-2026,Div C,League,06/07/2026,4:15 PM,Kansas Eagles,Midwest Warriors,OCG,Tuskers,Tuskers,,,,,
25,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,1:30 PM,Blue Titans,Rising Stars,OCG,Jaguars,Jaguars,,,,,
26,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,8:00 AM,Ace XI,Kansas Eagles,OCG,Punjab Eagles,Punjab Eagles,,,,,
27,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,10:45 AM,Blue Caps,KC Blues,OCG,Rc's XI,Rc's XI,,,,,
28,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,4:15 PM,Blue Titans,Nepal XI,OCG,Bengal Warriors,Bengal Warriors,,,,,
29,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,8:00 AM,Blue Titans,Wolves,OCG,KC Khiladis,KC Khiladis,,,,,
30,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,1:30 PM,Bharat XI,Jaguars,OCG,Punjab Eagles,Punjab Eagles,,,,,
31,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,4:15 PM,KC Supernovas,Punjab Eagles,OCG,LIMRA Defenders,LIMRA Defenders,,,,,
32,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,10:45 AM,Kansas Kings,Lakes XI,PCG,Bharat XI,Bharat XI,,,,,
33,CPLKC-T15-SPRING-2026,Div A,League,05/16/2026,1:30 PM,Kansas Kings,Pirates,OCG,Pehlwan XI,Pehlwan XI,,,,,
34,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,8:00 AM,Nepal XI,Rising Stars,OCG,KC Legends,KC Legends,,,,,
35,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,10:45 AM,Rising Stars,Wolves,OCG,Jaguars,Jaguars,,,,,
36,CPLKC-T15-SPRING-2026,Div C,League,04/25/2026,4:15 PM,Bharat XI,Prime XI,OCG,Kansas Kings,Kansas Kings,,,,,
37,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,10:45 AM,Jaguars,Sixers,OCG,Elites XI,Elites XI,,,,,
38,CPLKC-T15-SPRING-2026,Div C,League,05/31/2026,8:00 AM,Jaguars,Prime XI,OCG,KC Legends,KC Legends,,,,,
39,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,1:30 PM,KC Raptors,Lakes XI,OCG,Blue Titans,Blue Titans,,,,,
40,CPLKC-T15-SPRING-2026,Div A,League,05/30/2026,4:15 PM,KC Raptors,Pirates,OCG,Kansas Eagles,Kansas Eagles,,,,,
41,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,10:45 AM,KC Raptors,Telugu Yuvatha,OCG,Dominators,Dominators,,,,,
42,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,1:30 PM,Lakes XI,Pirates,OCG,Blue Titans,Blue Titans,,,,,
43,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,8:00 AM,Lakes XI,Telugu Yuvatha,PCG,Ace XI,Ace XI,,,,,
44,CPLKC-T15-SPRING-2026,Div A,League,05/02/2026,4:15 PM,Pirates,Telugu Yuvatha,OCG,Sixers,Sixers,,,,,
45,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,8:00 AM,Nepal XI,Wolves,OCG,Jaguars,Jaguars,,,,,
46,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,KC Blues,Midwest Warriors,OCG,Dominators,Dominators,,,,,
47,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,10:45 AM,Jaguars,KC Lions,OCG,KC Fusion,KC Fusion,,,,,
48,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,4:15 PM,Punjab XI,Shivams,PCG,Midwest Warriors,Midwest Warriors,,,,,
49,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Punjab XI,Rc's XI,OCG,World XI,World XI,,,,,
50,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,4:15 PM,Elites XI,Punjab XI,OCG,Pehlwan XI,Pehlwan XI,,,,,
51,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,1:30 PM,KC Khiladis,Punjab XI,OCG,Bharat XI,Bharat XI,,,,,
52,CPLKC-T15-SPRING-2026,Div A,League,04/26/2026,10:45 AM,KC Raptors,KC Rockers,OCG,Wolves,Wolves,,,,,
53,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,1:30 PM,KC Raptors,LIMRA Defenders,OCG,Blue Titans,Blue Titans,,,,,
54,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,10:45 AM,KC Raptors,World XI,OCG,KC Blues,KC Blues,,,,,
55,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,10:45 AM,KC Rockers,Telugu Yuvatha,OCG,Punjab XI,Punjab XI,,,,,
56,CPLKC-T15-SPRING-2026,Div A,League,06/20/2026,10:45 AM,LIMRA Defenders,Pirates,OCG,Ace XI,Ace XI,,,,,
57,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,4:15 PM,LIMRA Defenders,Telugu Yuvatha,OCG,Killer XI,Killer XI,,,,,
58,CPLKC-T15-SPRING-2026,Div A,League,06/27/2026,8:00 AM,Pirates,World XI,OCG,Bengal Warriors,Bengal Warriors,,,,,
59,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,10:45 AM,Telugu Yuvatha,World XI,OCG,Rising Stars,Rising Stars,,,,,
60,CPLKC-T15-SPRING-2026,Div B,League,06/21/2026,8:00 AM,Nepal XI,Sunrisers Lakes XI,OCG,KC Supernovas,KC Supernovas,,,,,
61,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,1:30 PM,KC Lions,Sixers,OCG,KC Royals,KC Royals,,,,,
62,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,1:30 PM,Ace XI,KC Blues,OCG,KC Khiladis,KC Khiladis,,,,,
63,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,1:30 PM,KC Lions,Prime XI,OCG,KC Legends,KC Legends,,,,,
64,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,8:00 AM,KC Rockers,LIMRA Defenders,PCG,KC Royals,KC Royals,,,,,
65,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,10:45 AM,KC Rockers,World XI,OCG,KC Lions,KC Lions,,,,,
66,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,4:15 PM,LIMRA Defenders,World XI,OCG,Wolves,Wolves,,,,,
67,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,8:00 AM,KC Legends,Punjab Eagles,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
68,CPLKC-T15-SPRING-2026,Div D,League,05/10/2026,8:00 AM,Bengal Warriors,KC Legends,PCG,Rising Stars,Rising Stars,,,,,
69,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,8:00 AM,Bharat XI,Blue Caps,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
70,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,4:15 PM,Blue Caps,Jaguars,OCG,Rc's XI,Rc's XI,,,,,
71,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,10:45 AM,KC Legends,KC Supernovas,OCG,Nepal XI,Nepal XI,,,,,
72,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,4:15 PM,Bengal Warriors,KC Fusion,OCG,Pirates,Pirates,,,,,
73,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Blue Titans,Dominators,PCG,Punjab XI,Punjab XI,,,,,
74,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,8:00 AM,Blue Titans,Killer XI,OCG,Punjab XI,Punjab XI,,,,,
75,CPLKC-T15-SPRING-2026,Div B,League,06/20/2026,1:30 PM,Blue Titans,Pehlwan XI,PCG,Midwest Warriors,Midwest Warriors,,,,,
76,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,8:00 AM,Bharat XI,Midwest Warriors,OCG,Punjab Eagles,Punjab Eagles,,,,,
77,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,1:30 PM,Jaguars,Midwest Warriors,PCG,Lakes XI,Lakes XI,,,,,
78,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,8:00 AM,Punjab Eagles,Shivams,OCG,Midwest Warriors,Midwest Warriors,,,,,
79,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,1:30 PM,Punjab Eagles,Rc's XI,OCG,KC Blues,KC Blues,,,,,
80,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,4:15 PM,Elites XI,Punjab Eagles,OCG,Lakes XI,Lakes XI,,,,,
81,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,KC Khiladis,Punjab Eagles,OCG,KC Rockers,KC Rockers,,,,,
82,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,8:00 AM,KC Fusion,KC Supernovas,OCG,Killer XI,Killer XI,,,,,
83,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,1:30 PM,Dominators,Rising Stars,PCG,Blue Caps,Blue Caps,,,,,
84,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,1:30 PM,Killer XI,Rising Stars,PCG,Pirates,Pirates,,,,,
85,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,8:00 AM,Pehlwan XI,Rising Stars,PCG,Prime XI,Prime XI,,,,,
86,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,Ace XI,Bharat XI,PCG,Nepal XI,Nepal XI,,,,,
87,CPLKC-T15-SPRING-2026,Div C,League,06/27/2026,1:30 PM,Ace XI,Jaguars,OCG,KC Khiladis,KC Khiladis,,,,,
88,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,4:15 PM,Midwest Warriors,Prime XI,OCG,Shivams,Shivams,,,,,
89,CPLKC-T15-SPRING-2026,Div D,League,05/17/2026,10:45 AM,Bengal Warriors,Elites XI,PCG,KC Rockers,KC Rockers,,,,,
90,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Bengal Warriors,KC Khiladis,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
91,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,Bengal Warriors,Rc's XI,PCG,Wolves,Wolves,,,,,
92,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,1:30 PM,Dominators,Nepal XI,OCG,KC Legends,KC Legends,,,,,
93,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,1:30 PM,Dominators,Wolves,PCG,Prime XI,Prime XI,,,,,
94,CPLKC-T15-SPRING-2026,Div B,League,07/11/2026,8:00 AM,Killer XI,Nepal XI,OCG,Kansas Kings,Kansas Kings,,,,,
95,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,10:45 AM,Nepal XI,Pehlwan XI,PCG,LIMRA Defenders,LIMRA Defenders,,,,,
96,CPLKC-T15-SPRING-2026,Div C,League,04/25/2026,1:30 PM,KC Lions,Midwest Warriors,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
97,CPLKC-T15-SPRING-2026,Div C,League,07/12/2026,8:00 AM,Ace XI,Prime XI,OCG,Rc's XI,Rc's XI,,,,,
98,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,1:30 PM,KC Supernovas,Shivams,PCG,KC Raptors,KC Raptors,,,,,
99,CPLKC-T15-SPRING-2026,Div D,League,06/21/2026,10:45 AM,KC Supernovas,Rc's XI,OCG,KC Lions,KC Lions,,,,,
100,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,8:00 AM,Elites XI,KC Supernovas,PCG,Sixers,Sixers,,,,,
101,CPLKC-T15-SPRING-2026,Div B,League,07/12/2026,1:30 PM,Dominators,Sunrisers Lakes XI,OCG,Lakes XI,Lakes XI,,,,,
102,CPLKC-T15-SPRING-2026,Div B,League,05/16/2026,10:45 AM,Killer XI,Sunrisers Lakes XI,PCG,KC Raptors,KC Raptors,,,,,
103,CPLKC-T15-SPRING-2026,Div B,League,05/30/2026,1:30 PM,Pehlwan XI,Sunrisers Lakes XI,PCG,Bharat XI,Bharat XI,,,,,
104,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,4:15 PM,Elites XI,KC Fusion,OCG,World XI,World XI,,,,,
105,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,4:15 PM,KC Fusion,KC Khiladis,PCG,Pirates,Pirates,,,,,
106,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,10:45 AM,Dominators,Killer XI,PCG,World XI,World XI,,,,,
