Division,TeamOne,TeamTwo,Reason
Div C,KC Blues,Sixers,Could not schedule even with relaxed constraints.
Div C,KC Blues,Prime XI,Could not schedule even with relaxed constraints.
Div A,Telugu Yuvatha,Tuskers,Could not schedule even with relaxed constraints.
Div A,KC Rockers,Tuskers,Could not schedule even with relaxed constraints.
Div A,LIMRA Defenders,Tuskers,Could not schedule even with relaxed constraints.
Div A,Tuskers,World XI,Could not schedule even with relaxed constraints.
Div A,Kansas Kings,KC Raptors,Could not schedule even with relaxed constraints.
Div A,Kansas Kings,Telugu Yuvatha,Could not schedule even with relaxed constraints.
Div B,Blue Titans,Sunrisers Lakes XI,Could not schedule even with relaxed constraints.
Div A,Kansas Kings,KC Rockers,Could not schedule even with relaxed constraints.
Div A,Kansas Kings,LIMRA Defenders,Could not schedule even with relaxed constraints.
Div A,Kansas Kings,World XI,Could not schedule even with relaxed constraints.
Div B,Rising Stars,Sunrisers Lakes XI,Could not schedule even with relaxed constraints.
Div C,Prime XI,Sixers,Could not schedule even with relaxed constraints.
Div A,Lakes XI,World XI,Could not schedule even with relaxed constraints.
Div C,Blue Caps,Sixers,Could not schedule even with relaxed constraints.
Div C,Midwest Warriors,Sixers,Could not schedule even with relaxed constraints.
Div B,Killer XI,Wolves,Could not schedule even with relaxed constraints.
Div B,Pehlwan XI,Wolves,Could not schedule even with relaxed constraints.
Div C,Ace XI,KC Lions,Could not schedule even with relaxed constraints.
Div C,Ace XI,Blue Caps,Could not schedule even with relaxed constraints.
Div C,Ace XI,Midwest Warriors,Could not schedule even with relaxed constraints.
